orig_names,new_names
632plus_10,632plus_10
632plus_100,632plus_100
632plus_1000,632plus_1000
632plus_50,632plus_50
632plus_500,632plus_500
austern_zhou,rocv_5
austern_zhou_rep,rep_rocv_5_5
bayle_10_all_pairs,cv_10_allpairs
bayle_10_within,cv_10_within
bayle_5_all_pairs,cv_5_allpairs
bayle_5_within,cv_5_within
bayle_loo,cv_n
bccv,bccv_100
bccv_bias,bccv_100_bias
conservative_z,conz_10_15
conservative_z_250,conz_12_10
corrected_t_10,cort_10
corrected_t_100,cort_100
corrected_t_50,cort_50
dietterich,52cv
holdout_66,holdout_66
holdout_90,holdout_90
ls_bootstrap_100,lsb_100
ls_bootstrap_50,lsb_50
nested_cv,ncv_200_5
nested_cv_250,ncv_10_5
oob_10,oob_10
oob_100,oob_100
oob_1000,oob_1000
oob_50,oob_50
oob_500,oob_500
ts_bootstrap,tsb_200
