Inference Method,Author,Size Category,Parameters,name,new_name
Standard Holdout,,all,p_test = 1/3,holdout_66,ho (2/3)
Standard Holdout,,all,p_test = 1/10,holdout_90,ho (9/10)
Replace-One CV,Austern & Zhou,small,K = 5,austern_zhou,rocv
Heuristic Repeated CV,Like Austern & Zhou,small,K = 5,austern_zhou_rep,hrcv
Test Error,Bayle,all,"K = 5, within-fold",bayle_5_within,"te (5, within)"
Test Error,,all,"K = 5, all-pairs",bayle_5_all_pairs,te (5) 
Test Error,,all,"K = 10, within-fold",bayle_10_within,"te (10, within)"
Test Error,,all,"K = 10, all-pairs",bayle_10_all_pairs,te (10)
Corrected Resampled t-test,Nadeau & Bengio,all,K = 10,corrected_t_10,crt (10)
Corrected Resampled t-test,,all,K = 50,corrected_t_50,crt (50)
Corrected Resampled t-test,,all,K = 100,corrected_t_100,crt (100)
Conservative z-test,Nadeau & Bengio,small,"K = 15, R = 10",conservative_z,cz
5 x 2 CV,Dietterich,all,,dietterich,5x2
Nested CV,Bates,small,"R = 200, K = 5",nested_cv,ncv
Out of Bag,Efron & Tibsherani,all,K = 10,oob_10,oob (10)
Out of Bag,,all,K = 50,oob_50,oob (50)
Out of Bag,,all,K = 100,oob_100,oob (100)
Out of Bag,,small,K = 500,oob_500,oob (500)
Out of Bag,,small,K = 1000,oob_1000,oob (1000)
632+,Efron & Tibsherani,all,K = 10,632plus_10,632+ (10)
632+,,all,K = 50,632plus_50,632+ (50)
632+,,all,K = 100,632plus_100,632+ (100)
632+,,small,K = 500,632plus_500,632+ (500)
632+,,small,K = 1000,632plus_1000,632+ (1000)
Bootrstrap Case CV,Jiang,tiny,R = 100,bccv,bbcv
Bootrstrap Case CV,,tiny,R = 100,bccv_bias,bccv (b)
Location-Shifted Bootstrap,Noma,all,"R = 50, K = 10",ls_bootstrap_50,lsb (50)
Location-Shifted Bootstrap,,all,"R = 100, K = 10",ls_bootstrap_100,lsb (100
Two-stage Bootstrap,Noma,small,"R = 200, K = 10",ts_bootstrap,tsb
